CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,,,,,
064.141,IDENTIFY / Improvement / Continuous Improvements Evaluation,ID.IM-01.04,Continuous improvement,"ID.IM-01.04: Technology and cybersecurity programs include elements designed to assess, manage, and continually improve the quality of program delivery in addressing stakeholder requirements and risk reduction.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Responses should describe review processes in place to assess, manage, and continually improve the quality of technology and cybersecurity programs and products in addressing stakeholder requirements and risk reduction. Describe how the organization identifies areas for improvement and measures the technology and cybersecurity program over time. Programs should integrate quality of program delivery into technology and cybersecurity programs to ensure that products are delivered fit-for-purpose and fit-for-use. 
Describe performance indicators or technology and cybersecurity metrics to determine where weaknesses or gaps exist within the technology and cybersecurity programs. Describe how the organization identifies areas for improvement, assesses external benchmarks, and determines the program’s maturity for overall risk reduction. ","EEE-001: Cybersecurity and IT Strategy Documents
EEE-009: Audit and Remediation Documentation",#mission_and_strategy | #program_transformation | #review_assessment_and_testing | #risk_management | #improvements
064.142,IDENTIFY / Improvement / Continuous Improvements Evaluation,ID.IM-01.05,Third-party risk management program assessment,"ID.IM-01.05: The organization's third-party risk management program is regularly assessed, reported on, and improved.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Management should continuously assess the third-party risk management program to determine and report if gaps exists and work towards self-improvement of the program. Third-party risk management programs should work in concert with the existing enterprise risk management program. 
Describe how the organization monitors the effectiveness of its third-party risk management program to reduce cyber, technology, and business risks associated with external dependencies. Describe how the organization monitors the effectiveness to reduce risk associated with third parties individually, as well as the aggregate use of third parties by the organization. ","EEE-017: Third-Party Risk Management and Communication Documents
EEE-019: Vendor Contract Management and Compliance Oversight Documents
EEE-097: Third-Party Risk Management Documentation",#mission_and_strategy | #program_transformation | #review_assessment_and_testing | #risk_management | #third_party_risk_management | #improvements | #supply_chain_management
065.143,IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.01,Penetration testing,"ID.IM-02.01: The organization conducts regular, independent penetration testing and red team testing on the organization's network, internet-facing systems, critical applications, and associated controls to identify gaps in cybersecurity defenses.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Penetration testing attempts to exploit potential vulnerabilities to determine whether unauthorized access or other malicious activity is possible. The organization or an independent third-party (e.g., qualified independent contractor, internal audit) should perform penetration testing and/or red team testing (or equivalent) on the organization’s network, internet-facing applications or systems, and other critical applications on existing components of the network, as well as the external network and environment. Testing may be extended on associated controls, such as physical access management. 
Describe how the organization conducts periodic penetration testing and red team testing (commensurate with the nature of the threats to the organization and its assets) on the internal and external network, environment, internet-facing applications or systems, and critical applications to identify gaps in cybersecurity defenses. If an independent third-party is used, provide information on the use and scope of the third-party testing. ","EEE-036: Vulnerability Scanning and Patch Management Documentation
EEE-047: Vulnerability Management and Remediation Strategy Documentation
EEE-085: Vulnerability Mitigation and Incident Containment Documentation",#critical_infrastructure | #issue_management | #penetration_testing | #review_assessment_and_testing | #vulnerability_management
065.144,IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.02,Penetration testing vendor rotation,ID.IM-02.02: The thoroughness and results of independent penetration testing are regularly reviewed to help determine the need to rotate testing vendors to obtain fresh independent perspectives.,Yes,Yes,Yes,No,Not Applicable,,,"An independent third-party (i.e., qualified independent contractor) should perform penetration testing and/or red team testing on the organization’s network, internet-facing applications or systems, and other critical applications on existing components of the network. Independent penetration testing vendors should be impartial to the systems that penetration testing is performed upon. 
Describe how the original regularly reviews the thoroughness and results of independent penetration test reports to help determine the need to rotate testing vendors to obtain fresh independent perspectives. ","EEE-036: Vulnerability Scanning and Patch Management Documentation
EEE-047: Vulnerability Management and Remediation Strategy Documentation
EEE-085: Vulnerability Mitigation and Incident Containment Documentation",#penetration_testing | #review_assessment_and_testing | #vendor_management
065.145,IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.03,Incident management effectiveness testing,"ID.IM-02.03: The organization tests and validates the effectiveness of the incident detection, reporting, and communication processes and protocols with internal and external stakeholders.",Yes,Yes,Yes,No,Not Applicable,,,"The organization should have a process in place to test incident response detection, reporting and communication processes to ensure that controls in place are effective. Incident detection processes should be tested to validate the effectiveness of the event detection, incident response processes, and controls through various exercises that emulate the types of events they are designed to detect. 
Describe how the organization tests and validates the effectiveness of the incident reporting and communication processes and protocols with both internal and external stakeholders. Provide applicable assessment results (generated by the organization or a third-party) to demonstrate how the organization tested and validated the effectiveness of these processes. ","EEE-022: Incident Management, Response Framework and Performance Documentation
EEE-044: Security Incident and Event Management Documentation",#incident_management | #mission_and_strategy | #program_maturity | #risk_assessment | #risk_management | #scenario_risk_assessment | #tabletop_exercises
065.146,IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.04,Resilience strategy and plan testing,"ID.IM-02.04: The organization's testing program validates the effectiveness of its resilience strategy and response, disaster recovery, and resumption plans on a regular basis or upon major changes to business or system functions, and includes external stakeholders as required.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Describe how the organization promotes, designs, organizes, and manages testing exercises that are designed to test its resilience strategy and response, disaster recovery, and resumption plans, with participation from internal and external stakeholders as required, on a regular basis or upon major changes to business or system functions. Include information on how the organization shares results of testing exercises to the appropriate parties through metrics or board reporting. 
Describe how the organization's testing program validates the effectiveness of its resilience strategy, response, disaster recovery, and resumption plans on an annual or more frequent basis according to major changes to business or system functions and the risk profile of the organization. Provide information on the organization’s testing framework and strategy. Describe the types of testing performed. As referenced in ID.IM-02.05, the organization establishes testing programs should include a range of scenarios.","EEE-014: Resilience and Continuity Design and Assessment Documents
EEE-022: Incident Management, Response Framework and Performance Documentation
EEE-069: Crisis Response and Business Continuity Management Documentation
EEE-092: Business Continuity Strategy and Exercises Documentation
EEE-106: Recovery Objectives Critical Infrastructure Documentation
EEE-107: Data Recovery and Information Flow Mapping Documentation
EEE-111: Disaster Recovery and Validation Program Documentation",#critical_infrastructure | #disaster_recovery | #mission_and_strategy | #program_maturity | #resilience | #risk_assessment | #risk_management | #scenario_risk_assessment | #tabletop_exercises
065.147,IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.05,Resilience testing scenarios,"ID.IM-02.05: The organization establishes testing programs that include a range of scenarios, including severe but plausible scenarios (e.g., disruptive, destructive, corruptive), that could affect the organization's ability to service internal and external stakeholders.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Describe how the organization establishes testing programs based on the risk profile of the organization business impact analyses, and resilience risk analyses. 
Describe how the testing programs include a range of scenarios, including severe but plausible scenarios (e.g., disruptive, destructive, corruptive) that could affect the organization's ability to service internal and external stakeholders. These scenarios should have a range of cyber, environmental, third-party, and business scenarios. ","EEE-014: Resilience and Continuity Design and Assessment Documents
EEE-022: Incident Management, Response Framework and Performance Documentation
EEE-069: Crisis Response and Business Continuity Management Documentation
EEE-092: Business Continuity Strategy and Exercises Documentation
EEE-111: Disaster Recovery and Validation Program Documentation",#critical_infrastructure | #disaster_recovery | #incident_management | #mission_and_strategy | #program_maturity | #resilience | #risk_assessment | #risk_management | #scenario_risk_assessment | #tabletop_exercises | #threat_landscape | #threat_management
065.148,IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.06,Accurate data recovery,"ID.IM-02.06: The organization designs and tests its systems and processes, and employs third-party support resources (e.g., Sheltered Harbor), to enable recovery of accurate data (e.g., material financial transactions) sufficient to support defined business recovery time and recovery point objectives.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Describe how the organization designs and tests its systems and processes, and employs third-party support resources to enable recovery of data (e.g., material financial transactions) sufficient to support defined business recovery time and recovery point objectives. For example, an organization can use Sheltered Harbor for third party support to securely store and quickly restore data and services to meet business recovery time and recovery point objectives. Describe how the organization designs requirements for backups and replications of data based on data sensitivity and criticality. Describe how the organization employs third party support resources to enable recovery of accurate data. Provide information regarding systems and processes risk classification as it pertains to design and testing frequency. Provide information on the types of backups utilized based upon the risk classification. ","EEE-106: Recovery Objectives Critical Infrastructure Documentation
EEE-110: Data Recovery and Integrity Assurance Documentation",#critical_infrastructure | #disaster_recovery | #mission_and_strategy | #program_maturity | #resilience | #risk_assessment | #risk_management | #scenario_risk_assessment | #tabletop_exercises
065.149,IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.07,Management involvement in testing,"ID.IM-02.07: The organization's governing body (e.g., the Board or one of its committees) and senior management are involved in testing as part of a crisis management team and are informed of test results.",Yes,Yes,No,No,Not Applicable,,,Tabletop exercises are a common way of involving senior leaders in resilience plan testing activities. Describe how the organization’s governing body and senior management are involved in testing as part of a crisis management team. Provide information on how the organization’s governing body is informed of test results. Provide information related to the integration of the Board and relevant committees and senior management in the process. ,"EEE-030: Board Accountability and Cybersecurity Governance Documentation
EEE-062: Board Oversight and Risk Management Documentation",#critical_infrastructure | #disaster_recovery | #mission_and_strategy | #program_maturity | #resilience | #risk_assessment | #risk_management | #risk_oversight | #scenario_risk_assessment | #tabletop_exercises
065.150,IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.08,Sector resilience testing,"ID.IM-02.08: The organization tests and exercises, independently and in coordination with other critical sector partners, its ability to support sector-wide resilience in the event of extreme financial stress or the instability of external dependencies, such as connectivity to markets, payment systems, clearing entities, messaging services, etc.",Yes,No,No,No,Not Applicable,,,"Testing the resilience of operations and services helps identify potential threats to the ongoing performance of the operation or service. A prolonged disruption of a significant operation could generate systemic risk. Describe how the organization tests and exercises, independently and in coordination with other critical sector partners, its cyber resilience plans, to support financial sector's sector-wide resilience and address external dependencies. Highlight external dependencies, such as connectivity to markets, payment systems, clearing entities, messaging services, etc.",EEE-015: Sector-Wide Dependency and Impact Analysis Documentation,#critical_infrastructure | #dependency_management | #disaster_recovery | #information_sharing | #mission_and_strategy | #resilience | #risk_assessment | #risk_management | #scenario_risk_assessment | #tabletop_exercises
065.151,IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.09,Retesting of identified gaps,"ID.IM-02.09: Corrective actions for gaps identified during security-related, incident management, response plan, and disaster recovery testing are retested and validated, or have a formal risk acceptance or risk exception.",Yes,Yes,Yes,No,Not Applicable,,,"Describe periodic testing and exercises using plausible scenarios to identify weaknesses and gaps in incident management, response plan, and disaster recovery plans. Describe how the organization develops corrective actions for gaps identified during tests and exercises. Corrective actions should be retested and validated or have a formal risk acceptance or a risk exception that is reviewed and approved by management. 
Provide information on how corrective actions are tracked to closure for gaps identified. Provide information on how remediation is retested and validated. ","EEE-047: Vulnerability Management and Remediation Strategy Documentation
EEE-048: Exception Management and Vulnerability Handling Documentation",#critical_infrastructure | #disaster_recovery | #issue_management | #mission_and_strategy | #program_transformation | #resilience | #review_assessment_and_testing | #risk_management | #risk_oversight | #tabletop_exercises
066.152,IDENTIFY / Improvement / Improvements from Lessons Learned,ID.IM-03.01,Protection controls improvement,"ID.IM-03.01: A formal process is in place to improve protection controls and processes by integrating recommendations, findings, and lessons learned from exercises, testing, audits, assessments, and incidents.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Lessons learned analysis is a key element of continuous improvement in cybersecurity preparedness. 
Provide information on the formal process utilized to improve protection controls and processes by integrating recommendations, findings, and lessons learned from exercises, testing, audits, assessments, and incidents. Describe any tools and industry mapping utilized in support. Provide evidence of updates to protection processes through lessons learned activities or other analysis. ","EEE-009: Audit and Remediation Documentation
EEE-050: Control Assessment and Testing Documentation",#incident_management | #issue_management | #lessons_learned | #risk_management
066.153,IDENTIFY / Improvement / Improvements from Lessons Learned,ID.IM-03.02,Monitoring and detection program improvement,"ID.IM-03.02: The organization establishes a systematic and comprehensive program to regularly evaluate and improve its monitoring and detection processes and controls as the threat environment changes, tools and techniques evolve, and lessons are learned.",Yes,Yes,Yes,No,Not Applicable,,,"One of the most important parts of incident response is learning and improving. Holding a “lessons learned” meeting with all involved parties after incidents can be extremely helpful in improving security measures and the incident handling process itself. 
Describe the program used to regularly evaluate and improve the monitoring and detection processes and controls. Describe how lessons learned are incorporated as the threat environment landscape changes, and tools and techniques evolve. Provide information on the linkage to the overall incident management process.",EEE-047: Vulnerability Management and Remediation Strategy Documentation,#issue_management | #lessons_learned | #risk_management | #security_logging_monitoring_and_alerting | #threat_landscape
067.154,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.01,"Alignment of business continuity, disaster recovery, and response programs","ID.IM-04.01: The organization's business continuity, disaster recovery, crisis management, and response plans are in place and managed, aligned with each other, and incorporate considerations of cyber incidents.",Yes,Yes,Yes,Yes,To Be Assessed,,,"The organization should have approved business continuity, disaster recovery, crisis management, and response plans in place to recover operations following an incident. The organization should have plans in place that address business impact analysis and risk assessment, alternate processing for critical business functions while systems/applications and facilities are unavailable. The organization should establish recovery strategies and procedures for critical systems, roles and responsibilities, and business continuity and disaster recovery testing that are managed and aligned with each other. Plans should be integrated and aligned to prepare an organization to continue critical business services during disruption. 
Describe how the organization’s business continuity (business process), disaster recovery (data center process), crisis management (business process), and incident response plans (incident process) are in place, coordinated, managed, aligned with each other, and incorporate considerations of cyber incidents.","EEE-022: Incident Management, Response Framework and Performance Documentation
EEE-092: Business Continuity Strategy and Exercises Documentation
EEE-106: Recovery Objectives Critical Infrastructure Documentation
EEE-111: Disaster Recovery and Validation Program Documentation",#disaster_recovery | #issue_management | #mission_and_strategy | #program_maturity | #resilience | #risk_assessment | #risk_management | #risk_oversight
067.155,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.02,Incident management roles and responsibilities,"ID.IM-04.02: The organization's incident response and business continuity plans contain clearly defined roles, responsibilities, and levels of decision-making authority, and include all needed areas of participation and expertise across the organization and key third-parties.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Describe how the organization's incident response plan and business continuity plans contain clearly defined roles, responsibilities, and levels of decision-making authority. The organization may use RACI charts to define leadership, ownership, and accountability of specific roles and responsibilities to ensure all needed areas of participation and expertise are included from internal and external stakeholders. The organization’s incident response plan and business continuity plan should include details on decision making authority and escalation procedures.","EEE-022: Incident Management, Response Framework and Performance Documentation
EEE-092: Business Continuity Strategy and Exercises Documentation
EEE-097: Third-Party Risk Management Documentation",#incident_management | #policy_management | #resilience | #risk_oversight
067.156,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.03,Restoration procedures,"ID.IM-04.03: Recovery plans include service resumption steps for all operating environments, including traditional, alternate recovery, and highly available (e.g., cloud) infrastructures.",Yes,Yes,No,No,Not Applicable,,,"The organization should evaluate critical business services and processes to determine a process for recovery of traditional, alternate recovery, and highly available infrastructures based on the organization. Organizations are accountable for ensuring that even highly available infrastructure, such as cloud-based infrastructure, is recoverable. Demonstrate the recovery plan includes service resumption steps for all operating environments, including traditional, alternate recovery, and highly available (e.g., cloud) infrastructures.","EEE-013: Operational Resilience and Continuity Procedures Documentation
EEE-092: Business Continuity Strategy and Exercises Documentation
EEE-106: Recovery Objectives Critical Infrastructure Documentation",#architecture | #disaster_recovery | #incident_management | #resilience
067.157,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.04,Data and transaction integrity restoration,"ID.IM-04.04: The organization has plans to identify, in a timely manner, the status of all transactions and member positions at the time of a disruption, supported by corresponding recovery point objectives.",Yes,Yes,Yes,No,Not Applicable,,,"Describe what the organization has in place to identify, in a timely manner, the status of all transactions and member positions at the time of a disruption, consistent with the organization’s recovery point objectives, the point in time to which data must be recovered. Provide information on how assets are classified, and risks are assessed in support of transaction identification, backup, and recovery strategy.","EEE-016: Recovery Objectives and Strategic Alignment Documentation
EEE-106: Recovery Objectives Critical Infrastructure Documentation
EEE-110: Data Recovery and Integrity Assurance Documentation",#disaster_recovery | #incident_management | #security_logging_monitoring_and_alerting
067.158,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.05,Long term loss contingency planning,"ID.IM-04.05: Recovery plans include restoration of resilience following a long term loss of capability (e.g., at an alternate site or a third-party), detailing when the plan should be activated and implementation steps.",Yes,Yes,No,No,Not Applicable,,,"The organization’s recovery plan should address and incorporate how the organization will maintain resilience following a long-term loss of capability. For example, the organization should establish an agreed-upon protocol between the organization and third parties for determining how incidents will be handled to maintain resilience. 
Demonstrate the recovery plan includes restoration of resilience and recovery of services following a long-term loss of capability (e.g., site or third party) detailing when the plan should be activated and how it is to be implemented. Highlight activation triggers and implementation steps.","EEE-013: Operational Resilience and Continuity Procedures Documentation
EEE-092: Business Continuity Strategy and Exercises Documentation
EEE-106: Recovery Objectives Critical Infrastructure Documentation
EEE-111: Disaster Recovery and Validation Program Documentation",#architecture | #critical_infrastructure | #data_backup | #disaster_recovery | #hotswap | #incident_management | #resilience | #technology_availability
067.159,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.06,Interconnected partner risk mitigation,ID.IM-04.06: The organization has established and implemented plans to identify and mitigate the cyber risks it poses through interconnectedness to sector partners and external stakeholders.,Yes,No,No,No,Not Applicable,,,"Cyber-risk, threat, and events impacting an organization can proliferate to the systems of other organizations due to the interconnectivity among systems. Describe how the organization has established and implemented plans to identify and mitigate the cyber risks it poses through interconnectedness to sector partners and external stakeholders.","EEE-017: Third-Party Risk Management and Communication Documents
EEE-097: Third-Party Risk Management Documentation",#enterprise_risk_management | #information_sharing | #mission_and_strategy | #risk_management | #threat_management
067.160,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.07,Incident management support resources,"ID.IM-04.07: The organization pre-identifies, pre-qualifies, and retains third party incident management support and forensic service firms, as required, that can be called upon to quickly assist with incident response, investigation, and recovery.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Describe processes for an organization pre-identifying, pre-qualifying, and retaining third party support to effectively prepare and respond to an incident in a timely manner. Organizations should develop and prepare for potential incidents by developing an incident response management plan that is periodically tested (e.g., scenario planning, tabletops, etc.) with the participation of third parties. Response roles and responsibilities should be defined for internal and external individuals to ensure an organization is able to quickly and effectively assist with incident response, forensic, investigation, and recovery. ","EEE-019: Vendor Contract Management and Compliance Oversight Documents
EEE-021: Third-Party Cybersecurity and Continuity Assessment Documentation",#incident_management | #third_party_risk_management | #vendor_management | #supply_chain_management
067.161,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.08,Response program improvement,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Describe how the organization periodically reviews response strategy, incident management plans, recovery plans, and associated test and exercises and updates them as necessary based on the six criteria within the statement (lessons learned, cyber threat intelligence, recent cyber-attacks, future cyber-attacks, environment changes, and new technology).","EEE-022: Incident Management, Response Framework and Performance Documentation
EEE-050: Control Assessment and Testing Documentation
EEE-084: Cyber Threat Intelligence Sharing and Distribution Documents
EEE-101: Cyber Threat Intelligence Sharing Documentation",#disaster_recovery | #emerging_technologies | #incident_management | #lessons_learned | #mission_and_strategy | #program_maturity | #risk_assessment | #risk_management | #scenario_risk_assessment | #tabletop_exercises | #threat_landscape | #threat_management
070.162,"PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",PR.AA-01.01,Identity and credential management,"PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).",Yes,Yes,Yes,Yes,To Be Assessed,,,"The goal of access control is to allow access by authorized individuals and devices and to disallow access by all others. Role-based access control may be considered to simplify management activities. Access should be authorized and provided only to individuals whose identity is established, and their activities should be limited to the minimum required for business purposes. Asset owners should regularly review access roles and individuals authorized to access the system to verify appropriate access management procedures.
Access controls should include password complexity, limitation of the number of password attempts before a user is locked out, and prohibition of the reuse of passwords. The organization should create complex passwords for default administration passwords, otherwise the network may be vulnerable to attack or employee abuse. Default passwords should be changed per system implementation guidelines, change management procedures or system hardening documentation.
Changes to access privileges of critical systems should be continuously monitored and any changes to those access privileges should result in an alert and notification to the proper security team to investigate, document, and resolve any issues. Where possible, access management activities should be automated to reduce error and manual processing overhead. Access management policies and procedures should establish a process for terminating users. If an organization terminates an individual's employment, there should be measures in place that require that user's access to any asset or system be removed immediately.
Provide information in support of identities and credentials being actively managed and/or automated for authorized devices and users. ",EEE-035: Access Control and Identity Management Documentation,#authentication | #authorization | #credential_management | #identity_and_access_management
070.163,"PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",PR.AA-01.02,Physical and logical access,"PR.AA-01.02: Physical and logical access to systems is permitted only for individuals who have a legitimate business requirement, have been authorized, and who are adequately trained and monitored.",Yes,Yes,Yes,Yes,To Be Assessed,,,"The organization’s management should ensure all users are identified and authenticated when accessing systems, applications, and hardware. Asset owners should determine the appropriate persons to allow access to and the types of access roles in place at the organization. 
Provide information regarding the physical and logical access controls that demonstrate that access is only permitted to individuals who have a legitimate business requirement, have been authorized, and who are adequately trained and monitored. Describe the request and review process and how that supports the statement. Describe the training and monitoring conducted for users, particularly those with access to sensitive and/or critical data. ",EEE-035: Access Control and Identity Management Documentation,#authorization | #identity_and_access_management | #least_privileged_access | #physical_security | #training_and_awareness
071.164,"PROTECT / Identity Management, Authentication, and Access Control / Identity Binding to Credentials",PR.AA-02.01,Authentication of identity,"PR.AA-02.01: The organization authenticates identity, validates the authorization level of a user before granting access to its systems, limits the use of an account to a single individual, and attributes activities to the user in logs and transactions.",Yes,Yes,Yes,Yes,To Be Assessed,,,"The organization’s management should ensure all users are identified and authenticated when accessing systems, applications, and hardware. Identification of a user is commonly associated with a user account name or other identifier, such as a unique identifier, account number, or email address. 
Provide information on how the organization authenticates identity, validates the authorization level of a user before granting access to its systems, limits the use of an account to a single individual, and attributes activities to the user in logs and transactions. Provide information on authentication methods (e.g., MFA) determined by the risk of the user and/or transaction type. Describe how the organization attributes activities to the user in logs and transactions. For example, a process in place to record the ID of the user performing a transaction in all logs and application records to accurately recreate the activity. ",EEE-035: Access Control and Identity Management Documentation,#authentication | #authorization | #credential_management | #identity_and_access_management | #security_logging_monitoring_and_alerting
072.165,"PROTECT / Identity Management, Authentication, and Access Control / Authentication",PR.AA-03.01,Authentication requirements,"PR.AA-03.01: Based on the risk level of a user access or a specific transaction, the organization defines and implements authentication requirements, which may include multi-factor or out-of-band authentication, and may adopt other real-time risk prevention or mitigation tactics.",Yes,Yes,Yes,Yes,To Be Assessed,,,"The organization should conduct risk assessments and use effective authentication methods appropriate to the level of risk of a given transaction, user access, or connection. Best practices include: selecting authentication mechanisms based on the risk associated with the particular application or service; considering whether multi-factor authentication is appropriate for each application; and encrypting the transmission and storage of authenticators (e.g., passwords, personal identification numbers (PINs), digital certificates, and biometric templates). 
Describe how, based on the risk level of a given transaction, user access, or connection, the organization has defined and implemented appropriate authentication requirements.",EEE-035: Access Control and Identity Management Documentation,#authentication | #authorization | #credential_management | #identity_and_access_management | #multi_factor_authentication | #risk_management
072.166,"PROTECT / Identity Management, Authentication, and Access Control / Authentication",PR.AA-03.02,Access authorization,"PR.AA-03.02: Decisions to authorize user access to devices and other assets are made with consideration of: 
(1) Business need for the access;
(2) The type of data being accessed (e.g., customer PII, public data);
(3) The risk of the transaction (e.g., internal-to-internal, external-to-internal);
(4) The organization's level of trust for the accessing agent (e.g., external application, internal user); and
(5) The potential for harm.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Provide information on how the organization performs decisions to authorize user access to devices and other assets. Risk assessments may be performed to help the organization identify high-risk devices or assets. Connections within the organization can be internal or external. For example, VPN, third parties, network segments, or leased lines. Describe how the assessment considers the business need for the access, type of data being accessed, the risk of the transaction or connection within or to the ecosystem, the organization’s level of trust, and the potential for harm. Provide information on the asset owner’s role in analysis and decision to authorize user access to devices and other assets. ","EEE-007: Legal, Regulatory, and Compliance Management Documentation
EEE-035: Access Control and Identity Management Documentation",#authentication | #authorization | #identity_and_access_management | #least_privileged_access | #privileged_access
072.167,"PROTECT / Identity Management, Authentication, and Access Control / Authentication",PR.AA-03.03,Email verification mechanisms,"PR.AA-03.03: The organization reduces fraudulent activity and protects reputational integrity through email verification mechanisms (e.g., DMARC, DKIM), call-back verification, secure file exchange facilities, out-of-band communications, customer outreach and education, and other tactics designed to thwart imposters and fraudsters.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Address spoofing, phishing, and man-in-the-middle attacks are common email exploits that can damage the reputational integrity of an organization. Responses should include an organization’s email verification mechanisms such as Domain-based Message Authentication, Reporting, and Conformance (DMARC), Domain Keys Identified Mail (DKIM), call-back verification, secure file exchange facilities, out-of-band communications, customer outreach and education, or similar authentication protocol mechanisms implemented to protect email confidentiality and reputational integrity. 
Describe which email verification mechanisms have been implemented to reduce fraudulent activity and thwart imposters and fraudsters.  Provide information on the mechanisms utilized. ","EEE-039: Malware Protection and Incident Detection Documentation
EEE-074: Data Protection and Encryption Documentation
EEE-075: Malware and Mobile Code Defense Strategy Documents
EEE-109: Email Protection Mechanism Documents",#authentication | #fraud | #identity_and_access_management | #program_maturity
073.168,"PROTECT / Identity Management, Authentication, and Access Control / Identity Assertions",PR.AA-04.01,Access control within and across security perimeters,"PR.AA-04.01: Access credential and authorization mechanisms for internal systems and across security perimeters (e.g., leveraging directory services, directory synchronization, single sign-on, federated access, credential mapping, etc.) are designed to maintain security, integrity, and authenticity.",Yes,Yes,Yes,Yes,To Be Assessed,,,"As referenced in PR.AA. Responses should ensure that authorized personnel have credentials and authentication mechanisms in place for physical and logical access, specific to their job duties, and while implementing least privilege access for internal systems and across security perimeters. Authorization mechanisms should be in place to centralize access control including directory services, directory synchronization, single sign-on, federated access, credential mapping, etc.). Refer to DE.CM-06.01, the organization should have processes to review, document, and authorize, all third-party connections, data transfer mechanisms, and Application Programming Interfaces (APIs). Describe authorization mechanisms that are implemented and designed to maintain security, integrity, and authenticity. ",EEE-035: Access Control and Identity Management Documentation,#authentication | #authorization | #credential_management | #identity_and_access_management
074.169,"PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.01,Access privilege limitation,"PR.AA-05.01: The organization limits access privileges to the minimum necessary and with consideration of separation of duties (e.g., through role-based access control, asset owner access recertifications, etc.).",Yes,Yes,Yes,Yes,To Be Assessed,,,"Least privilege refers to allowing only authorized access for users which are necessary to accomplish the assigned tasks in accordance with organizational missions and business functions. The principle of least privilege is also applied to information system processes, ensuring that the processes operate at privilege levels no higher than necessary to accomplish required organizational missions/business functions. The organization should limit access privileges with consideration of separation of duties by only granting access needed to perform an individual’s role and responsibilities.  
Responses should ensure that authorized personnel have credentials and authentication mechanisms in place for physical and logical access, specific to their job duties, and while implementing least privilege access for internal systems and across security perimeters. Authorization mechanisms should be in place to centralize access control including directory services, directory synchronization, single sign-on, federated access, credential mapping, etc.) Describe authorization mechanisms that are implemented and designed to maintain security, integrity, and authenticity. 
Provide information regarding how the organization limits access privileges to the minimum necessary and with consideration of separation of duties. ","EEE-035: Access Control and Identity Management Documentation
EEE-066: Segregation of Duties in Risk Management Documentation",#authorization | #least_privileged_access | #separation_of_duties
