                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages
067.154,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.01,"Alignment of business continuity, disaster recovery, and response programs","ID.IM-04.01: The organization's business continuity, disaster recovery, crisis management, and response plans are in place and managed, aligned with each other, and incorporate considerations of cyber incidents.",EEE-111: Disaster Recovery and Validation Program Documentation,"- Disaster Recovery (DR) plans outlining specific recovery steps for Information Technology (IT) systems and data.
- Schedules and results from regular DR testing, ensuring plans are actionable and up-to-date.
- Change management records for DR plans, capturing updates and justifications.
- Records capturing lessons-learned from exercises and the updating of documentation and plans to reflect the improvements.
- Training and certification records for personnel on DR roles and procedures.
- Review reports assessing DR plan alignment with overall business recovery objectives and Business Impact Analyses (BIAs)."
067.155,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.02,Incident management roles and responsibilities,"ID.IM-04.02: The organization's incident response and business continuity plans contain clearly defined roles, responsibilities, and levels of decision-making authority, and include all needed areas of participation and expertise across the organization and key third-parties.","EEE-022: Incident Management, Response Framework and Performance Documentation","- Integrated incident management policies and Incident Response Plan (IRP) that outline procedures for detecting, responding to, and recovering from security incidents, from detection to resolution.
- Configuration guides for SIEM systems and other detection tools, paired with response protocols.
- Combined logs of incident detection, analysis, and response activities, showing the full incident lifecycle.
- Training records and modules for the incident response team and security personnel, including exercises, simulations, and end-to-end incident management process.
- After-action reports, summaries, and lessons learned from incident response exercises, including key takeaways and action items.
- Metrics and performance indicators that track the effectiveness of the incident response program.
- Audit reports evaluating the effectiveness of the incident management framework and suggesting improvements."
067.155,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.02,Incident management roles and responsibilities,"ID.IM-04.02: The organization's incident response and business continuity plans contain clearly defined roles, responsibilities, and levels of decision-making authority, and include all needed areas of participation and expertise across the organization and key third-parties.",EEE-092: Business Continuity Strategy and Exercises Documentation,"- Integrated Business Continuity Plans (BCPs) that address various disruption scenarios, informed by Business Impact Analyses (BIAs).
- Documentation of regular BCP reviews, reflecting business changes and new insights.
- Logs from business continuity exercises, including objectives, execution, and actionable feedback.
- Aggregated stakeholder input on the effectiveness and clarity of continuity plans and exercises.
- Audit summaries evaluating the readiness and thoroughness of business continuity measures."
067.155,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.02,Incident management roles and responsibilities,"ID.IM-04.02: The organization's incident response and business continuity plans contain clearly defined roles, responsibilities, and levels of decision-making authority, and include all needed areas of participation and expertise across the organization and key third-parties.",EEE-097: Third-Party Risk Management Documentation,"- Third-party risk management policies that establish how vendor risks are assessed and managed.
- Oversight procedures and records of vendor performance reviews, including compliance with security requirements.
- Documentation of vendor risk assessments, including due diligence findings and mitigation measures.
- Contracts and agreements with third parties that include clauses related to risk management and security expectations.
- Training materials for staff involved in managing and overseeing third-party relationships."
067.156,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.03,Restoration procedures,"ID.IM-04.03: Recovery plans include service resumption steps for all operating environments, including traditional, alternate recovery, and highly available (e.g., cloud) infrastructures.",EEE-013: Operational Resilience and Continuity Procedures Documentation,"- Standard operating procedures (SOPs) for responding to incidents that threaten resilience and continuity.
- Business continuity plan outlining procedures for maintaining service delivery during disruptions.
- Recovery time objectives (RTOs), recovery point objectives (RPOs), maximum tolerable downtime (MTO), impact tolerance, and/or other recovery objective metrics are established for key services.
- Communication plans for stakeholders during a service disruption, to include alternative communication mechanisms.
- Contingency plans detailing alternative service delivery methods.
- Training records for staff on resilience and continuity procedures and their roles during incidents."
067.156,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.03,Restoration procedures,"ID.IM-04.03: Recovery plans include service resumption steps for all operating environments, including traditional, alternate recovery, and highly available (e.g., cloud) infrastructures.",EEE-092: Business Continuity Strategy and Exercises Documentation,"- Integrated Business Continuity Plans (BCPs) that address various disruption scenarios, informed by Business Impact Analyses (BIAs).
- Documentation of regular BCP reviews, reflecting business changes and new insights.
- Logs from business continuity exercises, including objectives, execution, and actionable feedback.
- Aggregated stakeholder input on the effectiveness and clarity of continuity plans and exercises.
- Audit summaries evaluating the readiness and thoroughness of business continuity measures."
067.156,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.03,Restoration procedures,"ID.IM-04.03: Recovery plans include service resumption steps for all operating environments, including traditional, alternate recovery, and highly available (e.g., cloud) infrastructures.",EEE-106: Recovery Objectives Critical Infrastructure Documentation,"- Documentation of recovery objectives for critical infrastructure and how these align with business continuity goals.
- Critical infrastructure analysis reports that assess the resilience and recovery capabilities of essential systems.
- Records of alignment discussions or decisions between recovery objectives and business needs.
- Audit reports evaluating the alignment of recovery objectives with the criticality of infrastructure components."
067.157,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.04,Data and transaction integrity restoration,"ID.IM-04.04: The organization has plans to identify, in a timely manner, the status of all transactions and member positions at the time of a disruption, supported by corresponding recovery point objectives.",EEE-016: Recovery Objectives and Strategic Alignment Documentation,"- Tools and templates used for formulating recovery strategies that support business objectives.
- A matrix aligning recovery time and point objectives with business priorities.
- Documentation from strategic planning sessions focused on recovery objectives.
- Signed approvals from management endorsing the proposed recovery strategies.
- Periodic review reports assessing the alignment of recovery objectives with business needs."
067.157,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.04,Data and transaction integrity restoration,"ID.IM-04.04: The organization has plans to identify, in a timely manner, the status of all transactions and member positions at the time of a disruption, supported by corresponding recovery point objectives.",EEE-106: Recovery Objectives Critical Infrastructure Documentation,"- Documentation of recovery objectives for critical infrastructure and how these align with business continuity goals.
- Critical infrastructure analysis reports that assess the resilience and recovery capabilities of essential systems.
- Records of alignment discussions or decisions between recovery objectives and business needs.
- Audit reports evaluating the alignment of recovery objectives with the criticality of infrastructure components."
067.157,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.04,Data and transaction integrity restoration,"ID.IM-04.04: The organization has plans to identify, in a timely manner, the status of all transactions and member positions at the time of a disruption, supported by corresponding recovery point objectives.",EEE-110: Data Recovery and Integrity Assurance Documentation,"- Data recovery plans that describe the procedures for restoring critical data and systems after an incident, including roles and responsibilities.
- Policies and procedures for regular data integrity checks, ensuring the accuracy and completeness of data both under normal operations and during recovery.
- Documentation of backup and restoration procedures, including backup schedules, data retention policies, and the scope of backup data.
- Logs and reports from data integrity and recovery tests, demonstrating successful restoration and validation of data against integrity standards.
- Checklists, tools, and software used for conducting data integrity checks and for verifying successful data recovery during planned exercises or in response to actual incidents.
- Service level agreements (SLAs) with third-party vendors that outline responsibilities and expectations for data recovery services, including timeframes for restoration and data integrity guarantees.
- Training materials and records for IT staff and relevant personnel on data recovery and integrity maintenance procedures, including any certifications or acknowledgments of training completion.
- Audit reports or reviews that assess the organization's data recovery and integrity assurance practices, including any findings and subsequent corrective actions taken to improve data management.
- After-action reports and lessons learned from recovery exercises or actual data loss incidents, used to refine and improve recovery strategies and integrity verification processes."
067.158,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.05,Long term loss contingency planning,"ID.IM-04.05: Recovery plans include restoration of resilience following a long term loss of capability (e.g., at an alternate site or a third-party), detailing when the plan should be activated and implementation steps.",EEE-013: Operational Resilience and Continuity Procedures Documentation,"- Standard operating procedures (SOPs) for responding to incidents that threaten resilience and continuity.
- Business continuity plan outlining procedures for maintaining service delivery during disruptions.
- Recovery time objectives (RTOs), recovery point objectives (RPOs), maximum tolerable downtime (MTO), impact tolerance, and/or other recovery objective metrics are established for key services.
- Communication plans for stakeholders during a service disruption, to include alternative communication mechanisms.
- Contingency plans detailing alternative service delivery methods.
- Training records for staff on resilience and continuity procedures and their roles during incidents."
067.158,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.05,Long term loss contingency planning,"ID.IM-04.05: Recovery plans include restoration of resilience following a long term loss of capability (e.g., at an alternate site or a third-party), detailing when the plan should be activated and implementation steps.",EEE-092: Business Continuity Strategy and Exercises Documentation,"- Integrated Business Continuity Plans (BCPs) that address various disruption scenarios, informed by Business Impact Analyses (BIAs).
- Documentation of regular BCP reviews, reflecting business changes and new insights.
- Logs from business continuity exercises, including objectives, execution, and actionable feedback.
- Aggregated stakeholder input on the effectiveness and clarity of continuity plans and exercises.
- Audit summaries evaluating the readiness and thoroughness of business continuity measures."
067.158,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.05,Long term loss contingency planning,"ID.IM-04.05: Recovery plans include restoration of resilience following a long term loss of capability (e.g., at an alternate site or a third-party), detailing when the plan should be activated and implementation steps.",EEE-106: Recovery Objectives Critical Infrastructure Documentation,"- Documentation of recovery objectives for critical infrastructure and how these align with business continuity goals.
- Critical infrastructure analysis reports that assess the resilience and recovery capabilities of essential systems.
- Records of alignment discussions or decisions between recovery objectives and business needs.
- Audit reports evaluating the alignment of recovery objectives with the criticality of infrastructure components."
067.158,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.05,Long term loss contingency planning,"ID.IM-04.05: Recovery plans include restoration of resilience following a long term loss of capability (e.g., at an alternate site or a third-party), detailing when the plan should be activated and implementation steps.",EEE-111: Disaster Recovery and Validation Program Documentation,"- Disaster Recovery (DR) plans outlining specific recovery steps for Information Technology (IT) systems and data.
- Schedules and results from regular DR testing, ensuring plans are actionable and up-to-date.
- Change management records for DR plans, capturing updates and justifications.
- Records capturing lessons-learned from exercises and the updating of documentation and plans to reflect the improvements.
- Training and certification records for personnel on DR roles and procedures.
- Review reports assessing DR plan alignment with overall business recovery objectives and Business Impact Analyses (BIAs)."
067.159,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.06,Interconnected partner risk mitigation,ID.IM-04.06: The organization has established and implemented plans to identify and mitigate the cyber risks it poses through interconnectedness to sector partners and external stakeholders.,EEE-017: Third-Party Risk Management and Communication Documents,"- Risk assessment reports for each critical third-party vendor, detailing potential risks and mitigation strategies.
- Communication plan templates for coordinating with third parties during incidents.
- Vendor risk management policy that outlines procedures for assessing and managing third-party risks.
- Records of third-party risk management training provided to staff responsible for vendor relations.
- Documentation of third-party performance reviews, focusing on compliance with security and resilience standards."
067.159,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.06,Interconnected partner risk mitigation,ID.IM-04.06: The organization has established and implemented plans to identify and mitigate the cyber risks it poses through interconnectedness to sector partners and external stakeholders.,EEE-097: Third-Party Risk Management Documentation,"- Third-party risk management policies that establish how vendor risks are assessed and managed.
- Oversight procedures and records of vendor performance reviews, including compliance with security requirements.
- Documentation of vendor risk assessments, including due diligence findings and mitigation measures.
- Contracts and agreements with third parties that include clauses related to risk management and security expectations.
- Training materials for staff involved in managing and overseeing third-party relationships."
067.160,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.07,Incident management support resources,"ID.IM-04.07: The organization pre-identifies, pre-qualifies, and retains third party incident management support and forensic service firms, as required, that can be called upon to quickly assist with incident response, investigation, and recovery.",EEE-019: Vendor Contract Management and Compliance Oversight Documents,"- Templates for contracts with vendors that include specific security and resilience requirements.
- Oversight procedures for ensuring vendors comply with contractual obligations related to security and resilience.
- Audit reports of vendor compliance with contract terms, including any corrective actions taken.
- Documentation of contract review meetings, focusing on performance and adherence to security standards.
- Change management records for contracts, detailing any amendments related to security and resilience."
067.160,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.07,Incident management support resources,"ID.IM-04.07: The organization pre-identifies, pre-qualifies, and retains third party incident management support and forensic service firms, as required, that can be called upon to quickly assist with incident response, investigation, and recovery.",EEE-021: Third-Party Cybersecurity and Continuity Assessment Documentation,"- Reports from cybersecurity assessments conducted on third-party vendors, including findings and recommendations.
- Third-party business continuity plans that detail recovery strategies and objectives relevant to services provided (or records of plan reviews).
- Agreements with third parties that include requirements for cybersecurity measures and business continuity planning.
- Documentation of joint business continuity exercises with critical vendors, including outcomes and improvements.
- Vendor cybersecurity certification records, verifying adherence to industry standards and best practices."
067.161,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.08,Response program improvement,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.","EEE-022: Incident Management, Response Framework and Performance Documentation","- Integrated incident management policies and Incident Response Plan (IRP) that outline procedures for detecting, responding to, and recovering from security incidents, from detection to resolution.
- Configuration guides for SIEM systems and other detection tools, paired with response protocols.
- Combined logs of incident detection, analysis, and response activities, showing the full incident lifecycle.
- Training records and modules for the incident response team and security personnel, including exercises, simulations, and end-to-end incident management process.
- After-action reports, summaries, and lessons learned from incident response exercises, including key takeaways and action items.
- Metrics and performance indicators that track the effectiveness of the incident response program.
- Audit reports evaluating the effectiveness of the incident management framework and suggesting improvements."
067.161,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.08,Response program improvement,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",EEE-050: Control Assessment and Testing Documentation,"- Schedules and plans for regular assessments and testing of security controls to ensure they are functioning as intended.
- Results and reports from control assessments, including identified deficiencies and corrective actions taken.
- Documentation of testing methodologies and criteria used to evaluate the effectiveness of controls.
- Records of updates or changes to controls based on assessment findings."
067.161,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.08,Response program improvement,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",EEE-084: Cyber Threat Intelligence Sharing and Distribution Documents,"- Policies and procedures for collecting, analyzing, and distributing cyber threat intelligence within the organization and with external partners.
- Agreements or memberships with threat intelligence sharing platforms or industry groups.
- Records of threat intelligence briefings or alerts issued to relevant stakeholders.
- Evaluations of the threat intelligence program, assessing its contribution to the organization's security posture."
067.161,IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.08,Response program improvement,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",EEE-101: Cyber Threat Intelligence Sharing Documentation,"- Cyber threat intelligence policies that outline the process for collecting, analyzing, and sharing threat information.
- Records of threat intelligence received and shared with internal stakeholders and external partners.
- Analysis reports based on threat intelligence that inform security strategies and operations.
- Training records for security analysts on threat intelligence tools and analysis techniques.
- Membership or participation records in threat intelligence sharing platforms or industry groups."
070.162,"PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",PR.AA-01.01,Identity and credential management,"PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).",EEE-035: Access Control and Identity Management Documentation,"- Written policies and procedures detailing access control measures and identity management protocols.
- System configuration snapshots or reports demonstrating the implementation of access controls.
- Descriptions of role-based groups or other practices used to differentiate access rights.
- Records demonstrating regular review of access controls, authorized users, and least privilege principle application by system owners.
- Audit logs showing user access activities and adherence to access policies.
- Records of user account creation, modification, and termination processes."
070.163,"PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",PR.AA-01.02,Physical and logical access,"PR.AA-01.02: Physical and logical access to systems is permitted only for individuals who have a legitimate business requirement, have been authorized, and who are adequately trained and monitored.",EEE-035: Access Control and Identity Management Documentation,"- Written policies and procedures detailing access control measures and identity management protocols.
- System configuration snapshots or reports demonstrating the implementation of access controls.
- Descriptions of role-based groups or other practices used to differentiate access rights.
- Records demonstrating regular review of access controls, authorized users, and least privilege principle application by system owners.
- Audit logs showing user access activities and adherence to access policies.
- Records of user account creation, modification, and termination processes."
071.164,"PROTECT / Identity Management, Authentication, and Access Control / Identity Binding to Credentials",PR.AA-02.01,Authentication of identity,"PR.AA-02.01: The organization authenticates identity, validates the authorization level of a user before granting access to its systems, limits the use of an account to a single individual, and attributes activities to the user in logs and transactions.",EEE-035: Access Control and Identity Management Documentation,"- Written policies and procedures detailing access control measures and identity management protocols.
- System configuration snapshots or reports demonstrating the implementation of access controls.
- Descriptions of role-based groups or other practices used to differentiate access rights.
- Records demonstrating regular review of access controls, authorized users, and least privilege principle application by system owners.
- Audit logs showing user access activities and adherence to access policies.
- Records of user account creation, modification, and termination processes."
072.165,"PROTECT / Identity Management, Authentication, and Access Control / Authentication",PR.AA-03.01,Authentication requirements,"PR.AA-03.01: Based on the risk level of a user access or a specific transaction, the organization defines and implements authentication requirements, which may include multi-factor or out-of-band authentication, and may adopt other real-time risk prevention or mitigation tactics.",EEE-035: Access Control and Identity Management Documentation,"- Written policies and procedures detailing access control measures and identity management protocols.
- System configuration snapshots or reports demonstrating the implementation of access controls.
- Descriptions of role-based groups or other practices used to differentiate access rights.
- Records demonstrating regular review of access controls, authorized users, and least privilege principle application by system owners.
- Audit logs showing user access activities and adherence to access policies.
- Records of user account creation, modification, and termination processes."
072.166,"PROTECT / Identity Management, Authentication, and Access Control / Authentication",PR.AA-03.02,Access authorization,"PR.AA-03.02: Decisions to authorize user access to devices and other assets are made with consideration of: 
(1) Business need for the access;
(2) The type of data being accessed (e.g., customer PII, public data);
(3) The risk of the transaction (e.g., internal-to-internal, external-to-internal);
(4) The organization's level of trust for the accessing agent (e.g., external application, internal user); and
(5) The potential for harm.","EEE-007: Legal, Regulatory, and Compliance Management Documentation","- Compliance audit reports for relevant laws and regulations (e.g., GDPR, HIPAA).
- Documentation of legal advice received on cybersecurity matters, to include determinations of incident materiality.
- Records of regulatory filings and notices related to IT and cybersecurity.
- Updates to policies and procedures in response to legal and regulatory changes.
- Training records on legal and regulatory requirements for IT staff."
072.166,"PROTECT / Identity Management, Authentication, and Access Control / Authentication",PR.AA-03.02,Access authorization,"PR.AA-03.02: Decisions to authorize user access to devices and other assets are made with consideration of: 
(1) Business need for the access;
(2) The type of data being accessed (e.g., customer PII, public data);
(3) The risk of the transaction (e.g., internal-to-internal, external-to-internal);
(4) The organization's level of trust for the accessing agent (e.g., external application, internal user); and
(5) The potential for harm.",EEE-035: Access Control and Identity Management Documentation,"- Written policies and procedures detailing access control measures and identity management protocols.
- System configuration snapshots or reports demonstrating the implementation of access controls.
- Descriptions of role-based groups or other practices used to differentiate access rights.
- Records demonstrating regular review of access controls, authorized users, and least privilege principle application by system owners.
- Audit logs showing user access activities and adherence to access policies.
- Records of user account creation, modification, and termination processes."
072.167,"PROTECT / Identity Management, Authentication, and Access Control / Authentication",PR.AA-03.03,Email verification mechanisms,"PR.AA-03.03: The organization reduces fraudulent activity and protects reputational integrity through email verification mechanisms (e.g., DMARC, DKIM), call-back verification, secure file exchange facilities, out-of-band communications, customer outreach and education, and other tactics designed to thwart imposters and fraudsters.",EEE-039: Malware Protection and Incident Detection Documentation,"- Anti-malware policies and procedures, including strategies for prevention, detection, and response.
- Logs from anti-malware solutions showing coverage, detection, and remediation of malicious software.
- Exception reports and tracking of malware detection failures and gaps.
- Incident response plans that include specific protocols for handling malware-related incidents.
- Post-incident analysis reports that evaluate the effectiveness of malware protection strategies."
072.167,"PROTECT / Identity Management, Authentication, and Access Control / Authentication",PR.AA-03.03,Email verification mechanisms,"PR.AA-03.03: The organization reduces fraudulent activity and protects reputational integrity through email verification mechanisms (e.g., DMARC, DKIM), call-back verification, secure file exchange facilities, out-of-band communications, customer outreach and education, and other tactics designed to thwart imposters and fraudsters.",EEE-074: Data Protection and Encryption Documentation,"- Consolidated data protection policies that mandate encryption for sensitive data, detailing standards and handling procedures.
- Certificates and reports demonstrating compliance with recognized encryption standards.
- Centralized records of encryption solutions implemented across the organization, including configuration details.
- Integrated data breach response and incident management plans that specify the use of encryption as a protective measure.
- Streamlined training documentation for all employees on data protection and encryption best practices."
072.167,"PROTECT / Identity Management, Authentication, and Access Control / Authentication",PR.AA-03.03,Email verification mechanisms,"PR.AA-03.03: The organization reduces fraudulent activity and protects reputational integrity through email verification mechanisms (e.g., DMARC, DKIM), call-back verification, secure file exchange facilities, out-of-band communications, customer outreach and education, and other tactics designed to thwart imposters and fraudsters.",EEE-075: Malware and Mobile Code Defense Strategy Documents,"- Policies and procedures for defending against malware and malicious mobile code, including prevention, detection, and response strategies.
- Configuration records for anti-malware tools and systems, showing protective measures in place.
- Logs and reports from anti-malware solutions, documenting detections and actions taken.
- Post-incident analysis documents that evaluate the response to malware incidents and the effectiveness of defense mechanisms."
072.167,"PROTECT / Identity Management, Authentication, and Access Control / Authentication",PR.AA-03.03,Email verification mechanisms,"PR.AA-03.03: The organization reduces fraudulent activity and protects reputational integrity through email verification mechanisms (e.g., DMARC, DKIM), call-back verification, secure file exchange facilities, out-of-band communications, customer outreach and education, and other tactics designed to thwart imposters and fraudsters.",EEE-109: Email Protection Mechanism Documents,"- Policies and procedures for securing email communications, including spam filters, phishing detection, and encryption.
- Configuration records for email protection systems, demonstrating the implementation of security measures.
- Training records for employees on recognizing and reporting suspicious emails and following email security best practices.
- Incident logs related to email security threats, including actions taken and resolutions.
- Audit or review reports assessing the effectiveness of email protection mechanisms and identifying areas for improvement."
073.168,"PROTECT / Identity Management, Authentication, and Access Control / Identity Assertions",PR.AA-04.01,Access control within and across security perimeters,"PR.AA-04.01: Access credential and authorization mechanisms for internal systems and across security perimeters (e.g., leveraging directory services, directory synchronization, single sign-on, federated access, credential mapping, etc.) are designed to maintain security, integrity, and authenticity.",EEE-035: Access Control and Identity Management Documentation,"- Written policies and procedures detailing access control measures and identity management protocols.
- System configuration snapshots or reports demonstrating the implementation of access controls.
- Descriptions of role-based groups or other practices used to differentiate access rights.
- Records demonstrating regular review of access controls, authorized users, and least privilege principle application by system owners.
- Audit logs showing user access activities and adherence to access policies.
- Records of user account creation, modification, and termination processes."
074.169,"PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.01,Access privilege limitation,"PR.AA-05.01: The organization limits access privileges to the minimum necessary and with consideration of separation of duties (e.g., through role-based access control, asset owner access recertifications, etc.).",EEE-035: Access Control and Identity Management Documentation,"- Written policies and procedures detailing access control measures and identity management protocols.
- System configuration snapshots or reports demonstrating the implementation of access controls.
- Descriptions of role-based groups or other practices used to differentiate access rights.
- Records demonstrating regular review of access controls, authorized users, and least privilege principle application by system owners.
- Audit logs showing user access activities and adherence to access policies.
- Records of user account creation, modification, and termination processes."
074.169,"PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.01,Access privilege limitation,"PR.AA-05.01: The organization limits access privileges to the minimum necessary and with consideration of separation of duties (e.g., through role-based access control, asset owner access recertifications, etc.).",EEE-066: Segregation of Duties in Risk Management Documentation,"- Policies and procedures that establish segregation of duties within risk management activities to prevent conflicts of interest and fraud.
- Flowcharts or diagrams that illustrate the separation of roles and responsibilities in risk-related processes.
- Internal control reports that verify the effectiveness of segregation of duties in mitigating risks.
- Records of changes to duties or responsibilities to maintain proper segregation as the organization evolves."
074.170,"PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.02,Privileged system access,"PR.AA-05.02: The organization institutes controls over privileged system access by strictly limiting and closely managing staff and services with elevated system entitlements (e.g., multi-factor authentication, dual accounts, privilege and time constraints, etc.)",EEE-035: Access Control and Identity Management Documentation,"- Written policies and procedures detailing access control measures and identity management protocols.
- System configuration snapshots or reports demonstrating the implementation of access controls.
- Descriptions of role-based groups or other practices used to differentiate access rights.
- Records demonstrating regular review of access controls, authorized users, and least privilege principle application by system owners.
- Audit logs showing user access activities and adherence to access policies.
- Records of user account creation, modification, and termination processes."
074.171,"PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.03,Service accounts,"PR.AA-05.03: The organization institutes controls over service account (i.e., accounts used by systems to access other systems) lifecycles to ensure strict security over creation, use, and termination; access credentials (e.g., no embedded passwords in code); frequent reviews of account ownership; visibility for unauthorized use; and hardening against malicious insider use.",EEE-035: Access Control and Identity Management Documentation,"- Written policies and procedures detailing access control measures and identity management protocols.
- System configuration snapshots or reports demonstrating the implementation of access controls.
- Descriptions of role-based groups or other practices used to differentiate access rights.
- Records demonstrating regular review of access controls, authorized users, and least privilege principle application by system owners.
- Audit logs showing user access activities and adherence to access policies.
- Records of user account creation, modification, and termination processes."
074.172,"PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.04,Third-party access management,"PR.AA-05.04: Specific roles, responsibilities, and procedures to manage the risk of third-party access to organizational systems and facilities are defined and implemented.",EEE-017: Third-Party Risk Management and Communication Documents,"- Risk assessment reports for each critical third-party vendor, detailing potential risks and mitigation strategies.
- Communication plan templates for coordinating with third parties during incidents.
- Vendor risk management policy that outlines procedures for assessing and managing third-party risks.
- Records of third-party risk management training provided to staff responsible for vendor relations.
- Documentation of third-party performance reviews, focusing on compliance with security and resilience standards."
074.172,"PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.04,Third-party access management,"PR.AA-05.04: Specific roles, responsibilities, and procedures to manage the risk of third-party access to organizational systems and facilities are defined and implemented.",EEE-019: Vendor Contract Management and Compliance Oversight Documents,"- Templates for contracts with vendors that include specific security and resilience requirements.
- Oversight procedures for ensuring vendors comply with contractual obligations related to security and resilience.
- Audit reports of vendor compliance with contract terms, including any corrective actions taken.
- Documentation of contract review meetings, focusing on performance and adherence to security standards.
- Change management records for contracts, detailing any amendments related to security and resilience."
075.173,"PROTECT / Identity Management, Authentication, and Access Control / Physical Access",PR.AA-06.01,Physical access security,"PR.AA-06.01: The organization manages, protects, and logs physical access to sensitive areas, devices, consoles, equipment, and network cabling and infrastructure.",EEE-077: Physical and Environmental Security Documents,"- Documentation of environmental controls (e.g., fire suppression, climate control) and physical security measures (e.g., access controls, surveillance systems).
- Maintenance and inspection records for environmental and physical security equipment.
- Incident logs related to environmental hazards or physical security breaches, including responses and outcomes.
- Security audit reports evaluating the adequacy of environmental and physical security controls."
075.174,"PROTECT / Identity Management, Authentication, and Access Control / Physical Access",PR.AA-06.02,Physical and visual access to information assets,"PR.AA-06.02: The organization manages and protects physical and visual access to sensitive information assets and physical records (e.g., session lockout, clean desk policies, printer/facsimile output trays, file cabinet/room security, document labelling, etc.)",EEE-077: Physical and Environmental Security Documents,"- Documentation of environmental controls (e.g., fire suppression, climate control) and physical security measures (e.g., access controls, surveillance systems).
- Maintenance and inspection records for environmental and physical security equipment.
- Incident logs related to environmental hazards or physical security breaches, including responses and outcomes.
- Security audit reports evaluating the adequacy of environmental and physical security controls."
